Species,Number of specimens,Heteroneme free length um ,Heteroneme free length um SE,Heteroneme width um ,Heteroneme width um SE,Heteroneme volume um3 ,Heteroneme volume um3 SE,Heteroneme shaft free length um ,Heteroneme shaft free length um SE,Heteroneme shaft width um ,Heteroneme shaft width um SE,Heteroneme number,Heteroneme number SE,Haploneme free length um ,Haploneme free length um SE,Haploneme width um ,Haploneme width um SE,Desmoneme length um ,Desmoneme length um SE,Desmoneme width um ,Desmoneme width um SE,Rhopaloneme length um ,Rhopaloneme length um SE,Rhopaloneme width um ,Rhopaloneme width um SE,Cnidoband length um ,Cnidoband length um SE,Cnidoband free length um ,Cnidoband free length um SE,Cnidoband width um ,Cnidoband width um SE,Haploneme row number um ,Haploneme row number um SE,Tentacle width um ,Tentacle width um SE,Pedicle width um ,Pedicle width um SE,Elastic strand width um ,Elastic strand width um SE,Involucrum length um ,Involucrum length um SE,coiledness,coiledness SE,heteroneme elongation,heteroneme elongation SE,haploneme elongation,haploneme elongation SE,desmoneme elongation,desmoneme elongation SE,rhopaloneme elongation,rhopaloneme elongation SE,heteroneme shaft extension,heteroneme shaft extension SE,Heteroneme to CB,Heteroneme to CB SE,total heteroneme volume,total heteroneme volume SE,total haploneme volume,total haploneme volume SE,cnidomic index,cnidomic index SE
Praya dubia,3 ,127.86 ,8.62 ,14.76 ,1.37 ,14974.91 ,2984.39,84.1 ,14.03 ,4.16 ,0.18 ,34.66 ,8.19 ,76.16 ,10.52,7.7 ,0.55,15.2 ,1.36,10.6 ,1.17 ,24.86 ,3.48,5 ,0.50 ,331.13 ,48.67 ,712.13 ,99.30 ,69.93 ,11.35,7, ,91.83 ,23.88 ,40.03 ,11.54,10.1 ,1.38,0, ,2.15 ,0.01 ,8.77 ,0.77 ,9.84 ,1.01 ,1.44 ,0.07 ,4.95 ,0.39 ,1.60 ,0.25 ,0.18 ,0.01 ,558588.09 ,206049.24 ,230458.37 ,63385.08 ,13.42 ,0.41
Praya reticulata,1,207.9,,15, ,24492.69,,167.7,,7.9,,72,,97.9,,10.9,,18.5,,13,,33.3,,7.6,,671.7,,1913.9,,78.1,,7,,,,99.4,,24.4,,0, ,2.84,,13.86, ,8.98, ,1.42, ,4.38, ,1.23, ,0.10, ,1763474.32, ,1069367.68, ,14.85,
Resomia dunni,1,277.1,,44.8, ,291200.55,,233.3,,15.4,,,,93.9,,11.5,,36.7,,18.1,,28.9,,10.7,,,,12820,,342.5,,27,,,,136.4,,101.8,,,,, ,6.18, ,8.16, ,2.02, ,2.70, ,1.18, ,0.02,,, ,7248532.32, ,15.79,
Resomia ornicephala,4 ,68.72 ,1.63,17.95 ,1.56 ,11999.77 ,2319.89 ,48.02 ,3.81 ,5.67 ,0.31,206 ,16.55,67.15 ,2.64,9.8 ,0.15 ,19.67 ,0.42 ,16.82 ,0.96,24.6 ,0.34 ,6.82 ,0.31,1661.7 ,152.24,5242.65 ,334.28,165.8 ,19.07,23.25,0.75 ,250.37 ,39.56,131.5 ,23.77,43.4 ,2.78,1201.7 ,352.53 ,3.41 ,0.07 ,3.89 ,0.24 ,6.86 ,0.32 ,1.17 ,0.05 ,3.63 ,0.19 ,1.45 ,0.10 ,0.01 ,0.00 ,2453107.43 ,485716.78 ,1817034.93 ,184579.39 ,15.24 ,0.13
Resomia persica,1,172,,37.4, ,125971.20,,135.3,,7.9,,,,87.2,,12.4,,30.6,,16.2,,23.7,,3.5,,1458.6,,7060.5,,207.5,,14,,191,,184.6,,75.7,,0, ,4.84, ,4.59, ,7.03, ,1.88, ,6.77, ,1.27, ,0.02,,, ,3997350.68, ,15.20,
Rhizophysa eysenhardtii,5,,,,,,,,,,,0,,16.9 ,1.11,14.26 ,1.19,,,,,,,,,1132.46 ,319.41,1132.46 ,319.41,50.58 ,13.72,2.6,0.6,175.34 ,49.11,38.4 ,8.87,,,0,,1,,, ,1.20 ,0.08,,,,,,,,,, ,134882.90 ,36730.34 ,11.66 ,0.26
Rhizophysa filiformis,5,,,,,,,,,,,0,,24.82 ,2.04,22.86 ,1.82,,,,,,,,,153.1 ,18.64,153.1 ,18.64,112.98 ,6.26,6.8 ,0.58,262.82 ,31.61,87.38 ,11.52,,,0,,1,,, ,1.08 ,0.02,,,,,,,,,, ,47446.55 ,9349.77 ,10.67 ,0.23
Rosacea cymbiformis,3 ,72.93 ,16.36,9.2 ,2.47 ,4570.63 ,3191.27 ,56.03 ,7.81 ,3.53 ,1.59 ,12.66 ,2.90 ,35.03 ,2.83 ,6.06 ,1.31,13.3 ,2.03 ,8.76 ,0.37 ,12.46 ,0.91 ,3.26 ,0.48 ,235.93 ,104.89 ,336.03 ,78.19 ,41.96 ,9.55,7,,50.6 ,11.82 ,27.63 ,15.32 ,7.76 ,2.91 ,68.83 ,18.44 ,1.69 ,0.35 ,8.09 ,0.32 ,6.07 ,0.70 ,1.51 ,0.19 ,3.99 ,0.66 ,1.27 ,0.10 ,0.22 ,0.02 ,43725.67 ,22556.88 ,43145.88 ,21739.39 ,11.09 ,0.52
Rosacea plicata,1,89.5,,10.4, ,5068.61,,69.1,,4.7,,24,,33.2,,4.5,,12.3,,6.7,,18.6,,4.8,,252,,261.1,,53,,7,,74,,15.1,,4.1,,46.4, ,1.03, ,8.60, ,7.37, ,1.83, ,3.87, ,1.29, ,0.34, ,121646.77, ,20424.71, ,11.86,
Sphaeronectes koellikeri,3 ,23.86 ,2.21,5 ,0.17 ,309.63 ,12.55 ,14.03 ,2.28 ,1.73 ,0.29 ,5.33 ,0.66 ,11.66 ,0.26 ,1.86 ,0.08 ,7.06 ,0.31,3.5 ,0.50 ,5.53 ,0.32 ,1.33 ,0.17 ,48.86 ,1.99 ,62.46 ,1.47,14 ,0.40,7, ,14.03 ,1.82 ,5.43 ,0.32 ,2.56 ,0.26,19.1 ,1.38 ,1.28 ,0.02 ,4.81 ,0.61 ,6.28 ,0.41 ,2.10 ,0.29 ,4.37 ,0.86 ,1.73 ,0.12 ,0.38 ,0.02 ,1639.60 ,173.58 ,710.87 ,25.69 ,7.75 ,0.06
Stephanomia amphytridis,5 ,160.67 ,3.69 ,43.07 ,1.17 ,124814.13 ,31696.84,125 ,2.33,14.1 ,0.37,425.5 ,52.89,131.9 ,6.42,18.1 ,0.81,43.85 ,4.14,27.85 ,2.77 ,45.82 ,2.87 ,12.67 ,0.92,8228.1 ,791.96 ,22784.37 ,2286.72 ,713.63 ,78.24,40.5 ,5.47 ,1137.12 ,92.54 ,424.22 ,78.22 ,386.32 ,42.68,0, ,2.77 ,0.09 ,3.74 ,0.17 ,7.39 ,0.67 ,1.58 ,0.08 ,3.66 ,0.28 ,1.28 ,0.04 ,0.00 ,0.00 ,65597086.05 ,7019318.86 ,28518162.46 ,3565659.09 ,18.34 ,0.10
Stephanophyes superba,2,96.35,6.05 ,8.57 ,1.47 ,3899.42 ,1515.98,72.3,8.5 ,3.82 ,0.02,35,1,42.4 ,0.80,6.8,0.5 ,16.87 ,3.97,11.55,0.95,20.55,1.95,4.05 ,0.04 ,543.77 ,60.22,978,120 ,70.97 ,10.97,7, ,64.37 ,19.77,27.95,5.95,11.85,2.05,56.75,12.75 ,1.79 ,0.02 ,11.45 ,1.26 ,6.27 ,0.57 ,1.44 ,0.22 ,5.08 ,0.54 ,1.36 ,0.24 ,0.10 ,0.01 ,137995.93 ,56958.99 ,146447.72 ,10020.17 ,12.54 ,0.16
Sulculeolaria quadrivalvis,5 ,32.32 ,3.18 ,5.07 ,0.46 ,382.72 ,143.75 ,24.47 ,2.08,2 ,0.06,7.5 ,0.44 ,18.57 ,2.56,3.25 ,0.28 ,9.52 ,2.05,5.55 ,1.35,7.6 ,1.41 ,1.87 ,0.31,91.35 ,5.93 ,123.52 ,15.18 ,27.77 ,5.09,7,,29.55 ,2.21,12.05 ,1.67 ,6.27 ,0.99,18.9 ,3.56 ,1.35 ,0.12 ,6.35 ,0.18 ,5.61 ,0.36 ,1.78 ,0.24 ,4.01 ,0.31 ,1.31 ,0.05 ,0.27 ,0.03 ,3427.76 ,750.49 ,4394.18 ,1436.64 ,8.85 ,0.23
Thermopalia taraxaca,1,33.8,,14, ,3468.74,,23.3,,3,,,,,,,,11.9,,5,,18.8,,4.3,,,,,,,,,,,,,,,,,,, ,2.41,,,,2.38, ,4.37, ,1.45,,,,,,, ,8.15,
Vogtia glabra,1,115.8,,24.8, ,37291.64,,73.2,,7.8,,8,,34.5,,6.6,,13.7,,6.6,,13.5,,2.8,,318.4,,599.1,,54.1,,7,,51.4,,8.5,,8.9,,76, ,1.88, ,4.66, ,5.22, ,2.07, ,4.82, ,1.58, ,0.19, ,298333.17, ,71426.76, ,12.82,
Vogtia serrata,5,163.96 ,7.43,23.56 ,0.38 ,47839.47 ,3141.74,109.56 ,5.35,6.4 ,0.68,12.8 ,1.49,53.32 ,1.93,7 ,0.30,15.36 ,0.99,9.12 ,0.67,17.74 ,0.61,4.7 ,0.43,616.3 ,82.94,1361.64 ,232.43,71.7 ,3.35,7,,199.52 ,25.46,48.88 ,9.74,16.04 ,3.02,153.4 ,48.23 ,2.18 ,0.17 ,6.95 ,0.27 ,7.71 ,0.59 ,1.69 ,0.07 ,3.88 ,0.31 ,1.50 ,0.05 ,0.13 ,0.01 ,621637.11 ,99451.35 ,264272.03 ,43860.12 ,13.65 ,0.14
Vogtia spinosa,1,144.2,,27.3, ,56271.72,,93.4,,11.2,,6,,39.8,,5.7,,16.1,,9.1,,10.6,,3,,407.4,,1007.6,,50,,7,,97.8,,16.6,,10.1,,88.7, ,2.47, ,5.28, ,6.98, ,1.76, ,3.53, ,1.54, ,0.14, ,337630.32, ,119686.37, ,13.03,
