obs_id,species,stage,character,attribute,state,source
,Cordagalma ordinatum,adult,Distal haploneme length (um),point,5.5,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Distal haploneme width (um),point,5,Carre1968_Ccordiformis
,Lilyopsis medusa,adult,Colony length (cm),min,5,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Colony length (cm),max,10,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Tentacle number,min,10,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Tentacle number,max,20,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme number,min,14,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme number,max,20,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Gastrozooid length (mm),point,1.1,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Number of haploneme rows,point,7,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Number of heteroneme rows per side,point,1,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Rhopaloneme length (um),point,15,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Rhopaloneme width (um),point,5,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Rhopaloneme tubule length (um),point,45,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Desmoneme length (um),point,9,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Desmoneme width (um),point,5,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Cnidoband desmoneme length (um),point,15,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Cnidoband desmoneme width (um),point,9,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Haploneme length (um),point,30,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Haploneme width (um),point,5,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme length (um),point,80,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme width (um),point,13,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme shaft length (um),point,75,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme shaft width (um),point,5,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme spine length (um),point,15,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme tubule width (um),point,3,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Cnidoband length (um),point,414,Carre1969a_Lrosea
,Prayola tottoni,adult,Colony length (cm),point,25,Carre1969c_Ptottoni
,Prayola tottoni,adult,Heteroneme number,point,4,Carre1969c_Ptottoni
,Prayola tottoni,adult,Number of heteroneme rows per side,point,1,Carre1969c_Ptottoni
,Prayola tottoni,adult,Number of haploneme rows,min,6,Carre1969c_Ptottoni
,Prayola tottoni,adult,Number of haploneme rows,max,8,Carre1969c_Ptottoni
,Prayola tottoni,adult,Haploneme number,min,180,Carre1969c_Ptottoni
,Prayola tottoni,adult,Cnidoband desmoneme number,point,15,Carre1969c_Ptottoni
,Prayola tottoni,adult,Rhopaloneme length (um),point,11,Carre1969c_Ptottoni
,Prayola tottoni,adult,Rhopaloneme width (um),point,3.5,Carre1969c_Ptottoni
,Prayola tottoni,adult,Rhopaloneme tubule length (um),point,35,Carre1969c_Ptottoni
,Prayola tottoni,adult,Desmoneme length (um),point,14,Carre1969c_Ptottoni
,Prayola tottoni,adult,Desmoneme width (um),point,7.5,Carre1969c_Ptottoni
,Prayola tottoni,adult,Number of coils in desmoneme tubule,min,4,Carre1969c_Ptottoni
,Prayola tottoni,adult,Number of coils in desmoneme tubule,max,5,Carre1969c_Ptottoni
,Prayola tottoni,adult,Heteroneme length (um),point,35,Carre1969c_Ptottoni
,Prayola tottoni,adult,Heteroneme width (um),point,22.5,Carre1969c_Ptottoni
,Prayola tottoni,adult,Heteroneme shaft length (um),point,26.5,Carre1969c_Ptottoni
,Prayola tottoni,adult,Heteroneme shaft width (um),point,12,Carre1969c_Ptottoni
,Desmophyes villafrancae,adult,Heteroneme number,mode,6,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Cnidoband desmoneme number,min,6,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Cnidoband desmoneme number,max,8,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Rhopaloneme length (um),point,7.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Rhopaloneme width (um),point,1.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Rhopaloneme tubule length (um),point,22.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Desmoneme length (um),point,3.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Desmoneme width (um),point,5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Haploneme length (um),point,20,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Heteroneme length (um),point,32.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Heteroneme width (um),point,8.5,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Heteroneme shaft length (um),point,20,Carre1969d_Rvillafrancae
,Apolemia uvaria,adult,Heteroneme length (um),point,34,Carre1973a
,Apolemia uvaria,adult,Heteroneme width (um),point,15,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft width (um),mode,3.5,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft length (um),mode,66,Carre1973a
,Apolemia uvaria,adult,Heteroneme thread width (um),point,3,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft width (um),max,6.5,Carre1973a
,Apolemia uvaria,adult,Heteroneme length (um),point,15,Carre1973a
,Apolemia uvaria,adult,Heteroneme width (um),point,9,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft width (um),mode,2.5,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft length (um),mode,46,Carre1973a
,Apolemia uvaria,adult,Heteroneme thread width (um),point,1.6,Carre1973a
,Apolemia uvaria,adult,Heteroneme shaft width (um),max,3.4,Carre1973a
,Marrus claudanielis,adult,Number of terminal filaments,point,1,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,1190,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,518,Dunn2005_claudanielis
,Marrus claudanielis,adult,Colony length (cm),point,21,Dunn2005_claudanielis
,Marrus claudanielis,adult,Gastrozooid length (mm),max,12,Dunn2005_claudanielis
,Marrus claudanielis,adult,Tentacle number,point,30,Dunn2005_claudanielis
,Marrus claudanielis,adult,Basigaster proportion,point,0.25,Dunn2005_claudanielis
,Marrus claudanielis,adult,Cnidoband length (um),point,3000,Dunn2005_claudanielis
,Marrus claudanielis,adult,Number of coils,point,9,Dunn2005_claudanielis
,Marrus claudanielis,adult,Heteroneme length (um),point,65,Dunn2005_claudanielis
,Marrus claudanielis,adult,Heteronme width (um),point,9,Dunn2005_claudanielis
,Marrus claudanielis,adult,Haploneme length (um),point,125,Dunn2005_claudanielis
,Marrus claudanielis,adult,Haploneme width (um),point,28,Dunn2005_claudanielis
,Marrus claudanielis,adult,Rhopaloneme length (um),point,12,Dunn2005_claudanielis
,Marrus claudanielis,adult,Rhopaloneme width (um),point,12,Dunn2005_claudanielis
,Marrus claudanielis,adult,Desmoneme length (um),point,25,Dunn2005_claudanielis
,Marrus claudanielis,adult,Desmoneme width (um),point,14,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,767,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,934,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,1001,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,1156,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,1144,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,1126,Dunn2005_claudanielis
,Marrus claudanielis,adult,Depth (m),point,686,Youngbluth1989
,Marrus claudanielis,adult,Depth (m),point,862,Pages_pers_Comm
,Marrus antarcticus,adult,Terminal filament number,point,1,Dunn2005_claudanielis
,Marrus orthocanna,adult,Terminal filament number,point,1,Dunn2005_claudanielis
,Marrus antarcticus,adult,Number of coils,point,3,Totton1954
,Dimophyes arctica,adult,Heteroneme length (um),point,198,Grossman2013_Thesis
,Dimophyes arctica,adult,Haploneme length (um),point,30,Grossman2013_Thesis
,Clausophyes galeata,adult,Cnidoband length (um),point,140,Grossman2013_Thesis
,Clausophyes galeata,proximal,Cnidoband width (um),point,60,Grossman2013_Thesis
,Archangelopsis typica,adult,Depth (m),point,100,Mackie1987_Siphbio
,Archangelopsis typica,adult,Depth (m),point,112,Mackie1987_Siphbio
,Steleophysema aurophora,adult,Depth (m),point,405,Mackie1987_Siphbio
,Stephalia bathyphysa,adult,Depth (m),point,503,Mackie1987_Siphbio
,Stephalia dilata,adult,Depth (m),point,1158,Mackie1987_Siphbio
,Angelopsis globosa,adult,Depth (m),point,2553,Mackie1987_Siphbio
,Physalia physalis,adult,Tentacle length (mm),point,10000,Mackie1987_Siphbio
,Apolemia uvaria,adult,Heteroneme length (um),point,12,Mackie1987_Siphbio
,Apolemia uvaria,adult,Heteroneme width (um),point,2,Mackie1987_Siphbio
,Apolemia uvaria,adult,Colony length (cm),point,2000,Tregouboff&Rose1957
,Muggiaea atlantica,adult,Tentacle number,mean,22.25,Mackie1987_Siphbio
,Bassia bassensis,adult,Tentacle number,mean,10.5,Mackie1987_Siphbio
,Sphaeronectes ?koellikeri,adult,Tentacle number,mean,20.49,Mackie1987_Siphbio
,Diphyes ?dispar,adult,Tentacle number,mean,51.71,Mackie1987_Siphbio
,Rosacea ?cymbiformis,adult,Tentacle number,mean,31.3,Mackie1987_Siphbio
,Stephanophyes superba,adult,Tentacle number,mean,20.47,Mackie1987_Siphbio
,Cordagalma ordinatum,adult,Tentacle number,mean,24.63,Mackie1987_Siphbio
,Forskalia ?edwardsi,adult,Tentacle number,mean,82.12,Mackie1987_Siphbio
,Athorybia ?rosacea,adult,Tentacle number,mean,2.91,Mackie1987_Siphbio
,Nanomia bijuga,adult,Tentacle number,mean,7.74,Mackie1987_Siphbio
,Agalma elegans,adult,Tentacle number,mean,4.14,Mackie1987_Siphbio
,Agalma okeni,adult,Tentacle number,mean,4.42,Mackie1987_Siphbio
,Muggiaea atlantica,adult,Gastrozooid length (mm),mean,0.3,Mackie1987_Siphbio
,Bassia bassensis,adult,Gastrozooid length (mm),mean,0.8,Mackie1987_Siphbio
,Sphaeronectes ?koellikeri,adult,Gastrozooid length (mm),mean,0.35,Mackie1987_Siphbio
,Rosacea ?cymbiformis,adult,Gastrozooid length (mm),mean,0.95,Mackie1987_Siphbio
,Stephanophyes superba,adult,Gastrozooid length (mm),mean,1.5,Mackie1987_Siphbio
,Cordagalma ordinatum,adult,Gastrozooid length (mm),mean,0.45,Mackie1987_Siphbio
,Forskalia ?edwardsi,adult,Gastrozooid length (mm),mean,1.15,Mackie1987_Siphbio
,Athorybia ?rosacea,adult,Gastrozooid length (mm),mean,0.85,Mackie1987_Siphbio
,Nanomia bijuga,adult,Gastrozooid length (mm),mean,1.1,Mackie1987_Siphbio
,Agalma elegans,adult,Gastrozooid length (mm),mean,1.2,Mackie1987_Siphbio
,Agalma okeni,adult,Gastrozooid length (mm),mean,2,Mackie1987_Siphbio
,Muggiaea atlantica,adult,Prey length (mm),mode,0.1,Mackie1987_Siphbio
,Bassia bassensis,adult,Prey length (mm),mode,0.7,Mackie1987_Siphbio
,Sphaeronectes ?koellikeri,adult,Prey length (mm),mode,0.3,Mackie1987_Siphbio
,Rosacea ?cymbiformis,adult,Prey length (mm),mode,0.5,Mackie1987_Siphbio
,Stephanophyes superba,adult,Prey length (mm),mode,1.9,Mackie1987_Siphbio
,Cordagalma ordinatum,adult,Prey length (mm),mode,0.3,Mackie1987_Siphbio
,Forskalia ?edwardsi,adult,Prey length (mm),mode,1.1,Mackie1987_Siphbio
,Agalma elegans,adult,Prey length (mm),mode,1.5,Mackie1987_Siphbio
,Diphyes ?dispar,adult,Prey length (mm),mode,0.3,Mackie1987_Siphbio
,Bassia bassensis,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Rosacea ?cymbiformis,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Stephanophyes superba,adult,Prey length (mm),min,0.6,Mackie1987_Siphbio
,Forskalia ?edwardsi,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Athorybia ?rosacea,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Nanomia bijuga,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Agalma elegans,adult,Prey length (mm),min,0.4,Mackie1987_Siphbio
,Agalma okeni,adult,Prey length (mm),min,0.6,Mackie1987_Siphbio
,Diphyes ?dispar,adult,Prey length (mm),min,0.2,Mackie1987_Siphbio
,Muggiaea atlantica,adult,Prey length (mm),max,1,Mackie1987_Siphbio
,Bassia bassensis,adult,Prey length (mm),max,1.4,Mackie1987_Siphbio
,Sphaeronectes ?koellikeri,adult,Prey length (mm),max,1,Mackie1987_Siphbio
,Stephanophyes superba,adult,Prey length (mm),max,3.2,Mackie1987_Siphbio
,Cordagalma ordinatum,adult,Prey length (mm),max,0.8,Mackie1987_Siphbio
,Physalia physalis,adult,Prey length (mm),max,100,Mackie1987_Siphbio
,Physalia physalis,adult,Prey length (mm),min,2,Mackie1987_Siphbio
,Rhizophysa eyesenhardti,adult,Tentacle number,mean,8,Mackie1987_Siphbio
,Diphyes dispar,adult,Tentacle number,mean,128,Mackie1987_Siphbio
,Sulculeolaria quadrivalvis,adult,Tentacle number,mean,397,Mackie1987_Siphbio
,Sulculeolaria quadrivalvis,adult,Tentacle number,mean,180,Mackie1987_Siphbio
,Stephanophyes superba,adult,Tentacle number,mean,79,Mackie1987_Siphbio
,Agalma okeni,adult,Normal swimming speed (cm/s),min,2,Biggs1977_Feeding
,Agalma okeni,adult,Normal swimming speed (cm/s),max,5,Biggs1977_Feeding
,Nanomia cara,adult,Normal swimming speed (cm/s),point,8,Berrill1930
,Nanomia cara,adult,Normal swimming speed (cm/s),min,8,Mackie1964
,Nanomia cara,adult,Normal swimming speed (cm/s),max,10,Mackie1964
,Physophora hydrostatica,adult,Normal swimming speed (cm/s),point,7,Biggs1977_Feeding
,Stephanophyes superba,adult,Normal swimming speed (cm/s),min,10,Biggs1977_Feeding
,Stephanophyes superba,adult,Normal swimming speed (cm/s),max,15,Biggs1977_Feeding
,Rosacea cymbiformis,adult,Normal swimming speed (cm/s),min,1,Biggs1977_Feeding
,Rosacea cymbiformis,adult,Normal swimming speed (cm/s),max,3,Biggs1977_Feeding
,Sulculeolaria monoica,adult,Normal swimming speed (cm/s),min,2,Biggs1977_Feeding
,Sulculeolaria monoica,adult,Normal swimming speed (cm/s),max,5,Biggs1977_Feeding
,Chelophyes appendiculata,adult,Normal swimming speed (cm/s),min,7,Biggs1977_Feeding
,Chelophyes appendiculata,adult,Normal swimming speed (cm/s),max,6,Biggs1977_Feeding
,Abylopsis tetragona,adult,Normal swimming speed (cm/s),point,8,BoneTrueman1982
,Diphyes dispar,adult,Normal swimming speed (cm/s),min,1,Biggs1977_Feeding
,Diphyes dispar,adult,Normal swimming speed (cm/s),max,3,Biggs1977_Feeding
,Nanomia cara,adult,Colony length (cm),point,11,MackieBoag1963
,Nanomia cara,adult,Tentacle number,point,10,MackieBoag1963
,Nanomia cara,adult,Tentacle length (mm),mean,190,MackieBoag1963
,Nanomia cara,adult,Tentilla per tentacle,mean,12,MackieBoag1963
,Halistemma rubra,adult,Colony length (cm),point,150,MackieBoag1963
,Stephanophyes superba,adult,Nematocysts per battery,point,1164,MackieBoag1963
,Nanomia cara,adult,Heteroneme tubule length (um),point,6000,MackieBoag1963
,Cordagalma tottoni,adult,Gastrozooid length (fixed) (mm),point,2,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Basigaster proportion,point,0.25,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Number of heteroneme rows per side,point,1,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Heteroneme number,min,30,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Heteroneme number,max,34,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Cnidoband length (um),min,600,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Cnidoband length (um),max,800,Margulis1993_Ctottoni
,Cordagalma tottoni,adult,Cnidoband width (um),point,150,Margulis1993_Ctottoni
,Cordagalma ordinatum,adult,Heteroneme number,point,5,Margulis1993_Ctottoni
,Cordagalma ordinatum,adult,Haploneme number,point,12,Margulis1993_Ctottoni
,Lychnagalma utricularia,adult,Number of terminal filaments,point,8,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,503,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,640,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,610,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,683,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,686,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,610,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,680,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,690,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,686,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,610,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,607,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,605,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,670,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,606,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,595,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,600,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,602,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),point,645,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Depth (m),mean,620,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla length (um),point,4125,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla length (um),point,3600,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla length (um),point,4125,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla length (um),point,4875,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla width (um),point,1275,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla width (um),point,1650,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla width (um),point,1725,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Central ampulla width (um),point,1200,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac length (um),point,2325,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac length (um),point,2250,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac length (um),point,2400,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac length (um),point,2400,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac width (um),point,1200,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac width (um),point,1200,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac width (um),point,1275,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Cnidosac width (um),point,1200,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Number of coils,point,9,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Number of coils,point,11,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Number of coils,point,8,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Number of coils,point,9,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Involucrum cover (%),mean,100,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Involucrum cover (%),mode,101,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Involucrum cover (%),sd,0,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Number of heteroneme rows per side,point,2,Pugh1986b_Lychnagalma
,Lychnagalma utricularia,adult,Gastrozooid length (mm),min,10,Pugh1986b_Lychnagalma
,Rosacea repanda,adult,Depth (m),point,388,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,457,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,488,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,702,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,491,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,455,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,420,Pugh1988b_Prayidae
,Rosacea repanda,adult,Depth (m),point,460,Pugh1988b_Prayidae
,Rosacea repanda,adult,Heteroneme length (um),point,105,Pugh1988b_Prayidae
,Rosacea repanda,adult,Heteroneme width (um),point,6.5,Pugh1988b_Prayidae
,Rosacea repanda,adult,Heteroneme number,point,24,Pugh1988b_Prayidae
,Rosacea repanda,adult,Number of heteroneme rows per side,point,1,Pugh1988b_Prayidae
,Rosacea repanda,adult,Haploneme length (um),min,45,Pugh1988b_Prayidae
,Rosacea repanda,adult,Haploneme length (um),max,50,Pugh1988b_Prayidae
,Rosacea repanda,adult,Haploneme width (um),point,8,Pugh1988b_Prayidae
,Rosacea repanda,adult,Cnidoband desmoneme length (um),point,10.5,Pugh1988b_Prayidae
,Rosacea repanda,adult,Cnidoband desmoneme width (um),point,10.5,Pugh1988b_Prayidae
,Rosacea repanda,adult,Desmoneme length (um),min,15,Pugh1988b_Prayidae
,Rosacea repanda,adult,Desmoneme width (um),min,10.5,Pugh1988b_Prayidae
,Rosacea repanda,adult,Desmoneme length (um),max,18,Pugh1988b_Prayidae
,Rosacea repanda,adult,Desmoneme width (um),max,12,Pugh1988b_Prayidae
,Rosacea repanda,adult,Rhopaloneme length (um),max,34,Pugh1988b_Prayidae
,Rosacea repanda,adult,Rhopaloneme length (um),min,24,Pugh1988b_Prayidae
,Rosacea repanda,adult,Rhopaloneme width (um),point,5,Pugh1988b_Prayidae
,Rosacea repanda,adult,Tentacle number,point,4,Pugh1988b_Prayidae
,Rosacea limbata,adult,Tentacle number,point,59,Pugh1988b_Prayidae
,Rosacea limbata,adult,Depth (m),point,146,Pugh1988b_Prayidae
,Rosacea limbata,adult,Heteroneme number,point,24,Pugh1988b_Prayidae
,Rosacea limbata,adult,Heteroneme length (um),point,110,Pugh1988b_Prayidae
,Rosacea limbata,adult,Heteroneme width (um),point,7.5,Pugh1988b_Prayidae
,Rosacea limbata,adult,Haploneme length (um),max,43,Pugh1988b_Prayidae
,Rosacea limbata,adult,Haploneme width (um),max,9,Pugh1988b_Prayidae
,Rosacea limbata,adult,Haploneme length (um),min,40,Pugh1988b_Prayidae
,Rosacea limbata,adult,Haploneme width (um),min,8,Pugh1988b_Prayidae
,Rosacea limbata,adult,Number of heteroneme rows per side,point,1,Pugh1988b_Prayidae
,Rosacea limbata,adult,Desmoneme length (um),max,14.5,Pugh1988b_Prayidae
,Rosacea limbata,adult,Desmoneme width (um),max,10.5,Pugh1988b_Prayidae
,Rosacea limbata,adult,Desmoneme length (um),min,12,Pugh1988b_Prayidae
,Rosacea limbata,adult,Desmoneme width (um),min,9,Pugh1988b_Prayidae
,Rosacea limbata,adult,Rhopaloneme length (um),point,25,Pugh1988b_Prayidae
,Rosacea limbata,adult,Rhopaloneme width (um),point,5,Pugh1988b_Prayidae
,Nectopyramis thetys,adult,Haploneme length (um),point,48,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Haploneme width (um),point,8,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Heteroneme length (um),point,80,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Heteroneme width (um),point,21,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Number of heteroneme rows per side,point,1,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Heteroneme number,min,20,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Heteroneme number,max,30,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Rhopaloneme length (um),point,22,Pugh1992a_Nectopyramidinae_unsure_id
,Nectopyramis thetys,adult,Rhopaloneme width (um),point,5,Pugh1992a_Nectopyramidinae_unsure_id
,Nectopyramis thetys,adult,Desmoneme length (um),point,16,Pugh1992a_Nectopyramidinae_unsure_id
,Nectopyramis thetys,adult,Desmoneme width (um),point,13,Pugh1992a_Nectopyramidinae_unsure_id
,Nectopyramis natans,adult,Cnidoband length (um),point,200,Pugh1992a_Nectopyramidinae
,Nectopyramis thetys,adult,Cnidoband length (um),point,400,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Haploneme length (um),point,50,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Haploneme width (um),point,10,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Heteroneme length (um),point,93,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Heteroneme width (um),point,21,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Number of heteroneme rows per side,point,1,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Heteroneme number,min,16,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Heteroneme number,max,20,Pugh1992a_Nectopyramidinae
,Nectopyramis natans,adult,Desmoneme length (um),point,16,Pugh1992a_Nectopyramidinae_unsure_id
,Nectopyramis natans,adult,Desmoneme width (um),point,13,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Heteroneme length (um),point,90,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Heteroneme width (um),point,15,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Heteroneme number,min,20,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Heteroneme number,max,30,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Rhopaloneme length (um),point,30,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Rhopaloneme width (um),point,8,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Desmoneme length (um),point,20,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Desmoneme width (um),point,10,Pugh1992a_Nectopyramidinae_unsure_id
,Nectadamas richardi,adult,Depth (m),point,225,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Depth (m),point,300,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Depth (m),point,1500,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Depth (m),point,1150,Pugh1992a_Nectopyramidinae
,Nectadamas richardi,adult,Depth (m),point,1400,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Involucrum length (um),point,1100,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Cnidoband width (um),max,0.4,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Cnidoband width (um),min,0.1,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Cnidoband length (um),point,300,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Cnidoband length (um),point,400,Pugh1992a_Nectopyramidinae
,Nectadamas diomedeae,adult,Proximal heteroneme length (um),point,100,Pugh1992a_Nectopyramidinae
